strongNumber,hebWord,lang,etymComplete,etymDesc,variants,morphology,heading,entrycontent,phonemes,multiarticle
4878,מְשׁוּבָה,H,7725+שׁוב,from H7725,,N-F,faithlessness,"1) turning away, turning back, apostasy, backsliding",mᵊšūvā,
4879,מְשׁוּגָה,H,,from an unused root meaning to stray,,N-F,error,1) error,mᵊšūgā,
4880,מָשׁוֹט,H,7751+שׁוט,from H7751,"מִשּׁוֹט, מָשׁוֹט",N-M,oar,1) oar,māšōṭ,
4881,מְשֻכָֿה,H,7753+שׂוך,from H7753,"מְשֻכָֿה, מְשֻׂכָּה",N-F,hedge,1) hedge,mᵊšuxā,
4882,מְשׁוּסָה,H,,from an unused root meaning to plunder,,N-F,spoil,"1) booty, spoil, plunder",mᵊšūsā,
4883,מַשּׂוֹר,H,,from an unused root meaning to rasp,,N-M,saw,1) saw,maśśōr,
4884,מְשׂוּרָה,H,,from an unused root meaning apparently to divide,,N-F,capacity,1) measure,mᵊśūrā,
4885,מָשׂוֹשׂ,H,7797+שׂושׂ שׂישׂ,from H7797,,N-M,rejoicing,"1) exultation, joy, rejoicing",māśōś,
4886,מָשַׁח,H,,a primitive root,,V,to anoint,"1) to smear, anoint, spread a liquid<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to smear<br>&emsp;&emsp;1a2) to anoint (as consecration)<br>&emsp;&emsp;1a3) to anoint, consecrate<br>&emsp;1b) (Niphal) to be anointed",māšaḥ,
4887,מְשַׁח,A,4886+משׁח,(Aramaic) from a root corresponding to H4886,,N-M,oil,1) oil,mᵊšaḥ,
4888,מִשְׁחָה,H,4886+משׁח,from H4886,"מָשְׁחָה, מִשְׁחָה",N-F,anointing|consecrated portion,"1) ointment (used to consecrate by anointing)<br>2) anointing portion|1) consecrated portion, portion",mišḥā,m
4889,מַשְׁחִית,H,7843+שׁחת,from H7843,,N-M,destruction,"1) ruin, destruction",mašḥīt,
4890,מִשְׂחַק,H,7831+שׁחצום,from H7831,,N-M,laughing,1) object of derision,miśḥaq,
4891,מִשְׁחָר,H,7836+שׁחר,from H7836 in the sense of day breaking,,N-M,dawn,1) dawn,mišḥār,
4892,מַשְׁחֵת,H,4889+משׁחית,for H4889,,N-M,destruction,"1) ruin, destruction",mašḥēt,
4893,מִשְׁחַת,H,7843+שׁחת,from H7843,"מִשְׁחַת, מָשְׁחָת",N-M,mutilation|corruption,1) disfigurement (of face)|1) corruption (ritual),mišḥat,m
4894,מִשְׁטָח,H,7849+שׁטח,from H7849,"מִשְׁטָח, מִשְׁטוֹחַ",N-M,spreading-place,1) spreading place,mišṭāḥ,
4895,מַשְׂטֵמָה,H,7850+שׁוטט,from the same as H7850,,N-F,hatred,"1) animosity, enmity",maśṭēmā,
4896,מִשְׁטָר,H,7860+שׁוטר,from H7860,,N-M,rule,"1) rule, authority",mišṭār,
4897,מֶ֫שִׁי,H,4871+משׁה,from H4871,,N-M,silk,1) a costly material for garment<br>&emsp;1a) perhaps silk,mešī,
4898,מְשֵׁיזַבְאֵל,H,7804+שׁזב|410+אל,from an equiv. to H7804 and H410,,N_N-M-P,Meshezabel,"Meshezabeel = ""God delivers""<br>1) ancestor of Meshullam who assisted Nehemiah in rebuilding the wall of Jerusalem<br>&emsp;1a) perhaps the same as 2 and 3<br>2) a head of the people who sealed the covenant with Nehemiah<br>&emsp;2a) perhaps the same as 1 and 3<br>3) father of Pethahiah and descendant of Zerah the son of Judah<br>&emsp;3a) perhaps the same as 1 and 2",mᵊšēzavʾēl,
4899,מָשִׁיחַ,H,4886+משׁח,from H4886,,N-M,anointed,"1) anointed, anointed one<br>&emsp;1a) of the Messiah, Messianic prince<br>&emsp;1b) of the king of Israel<br>&emsp;1c) of the high priest of Israel<br>&emsp;1d) of Cyrus<br>&emsp;1e) of the patriarchs as anointed kings",māšīaḥ,
4900,מָשַׁךְ,H,,a primitive root,,V,to draw,"1) to draw, drag, seize<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to draw (and lift out), drag along, lead along, drag or lead off, draw down<br>&emsp;&emsp;1a2) to draw (the bow)<br>&emsp;&emsp;1a3) to proceed, march<br>&emsp;&emsp;1a4) to draw out or give (a sound)<br>&emsp;&emsp;1a5) to draw out, prolong, continue<br>&emsp;&emsp;1a6) to trail (seed in sowing)<br>&emsp;&emsp;1a7) to cheer, draw, attract, gratify<br>&emsp;1b) (Niphal) to be drawn out<br>&emsp;1c) (Pual)<br>&emsp;&emsp;1c1) to be drawn out, be postponed, be deferred<br>&emsp;&emsp;1c2) to be tall",māšax,
4901,מֶ֫שֶׁךְ,H,4900+משׁך,from H4900,,N-M,bag/price,"1) a drawing, drawing up, drawing up a trail<br>&emsp;1a) the drawing up, fishing up, securing, acquiring<br>&emsp;1b) a trail (of seed)",mešex,
4902,מֶ֫שֶׁךְ,H,4901+משׁך,"the same in form as H4901, but probably of foreign derivation",,N_N-M-P,Meshech,"Mesech or Meshech = ""drawing out""<br>1) son of Japheth, grandson of Noah, and progenitor of peoples to the north of Israel<br>&emsp;1a) descendants of Mesech often mentioned in connection with Tubal, Magog, and other northern nations including the Moschi, a people on the borders of Colchis and Armenia",mešex,
4903,מִשְׁכַּב,A,4904+משׁכב,(Aramaic) corresponding to H4904,,N-M,bed,"1) couch, bed",miškav,
4904,מִשְׁכָּב,H,7901+שׁכב,from H7901,,N-M,bed,"1) a lying down, couch, bier, act of lying<br>&emsp;1a) couch, bed<br>&emsp;1b) act of lying, lying down or sleeping room, bedroom<br>&emsp;1c) lying down (for sexual contact)",miškāv,
4905,מַשְׂכִּיל,H,7919+שׂכל,from H7919,,N-M,Maschil,"1) (Hiphil) poem, song or poem of contemplation",maśkīl,
4906,מַשְׂכִּית,H,7906+שׂכו,from the same as H7906,,N-F,figure,"1) show-piece, figure, imagination, image, idol, picture<br>&emsp;1a) show-piece, carved figure (of idols)<br>&emsp;1b) imagination, conceit",maśkīt,
4907,מִשְׁכַּן,A,4908+משׁכן,(Aramaic) corresponding to H4908,,N-M,habitation,1) abode (of God),miškan,
4908,מִשְׁכָּן,H,7931+שׁכן,from H7931,,N-M,tabernacle,"1) dwelling place, tabernacle<br>&emsp;1a) dwelling-place<br>&emsp;1b) dwellings",miškān,
4909,מַשְׂכֹּ֫רֶת,H,7936+שׂכר סכר,from H7936,,N-F,wage,1) wages,maśkōret,
4910,מָשַׁל,H,,a primitive root,,V,to rule,"1) to rule, have dominion, reign<br>&emsp;1a) (Qal) to rule, have dominion<br>&emsp;1b) (Hiphil)<br>&emsp;&emsp;1b1) to cause to rule<br>&emsp;&emsp;1b2) to exercise dominion",māšal,
4911,מָשַׁל,H,4912+משׁל,denominative from H4912,"מָשַׁל, מָשַׁל",V,to liken|to use a proverb,"1) to represent, liken, be like<br>&emsp;1a) (Niphal) to liken, be like, be similar<br>&emsp;1b) (Hiphil) to compare<br>&emsp;1c) (Hithpael) to become like|1) to speak in a proverb, use a proverb, speak in parables, speak in sentences of poetry<br>&emsp;1a) (Qal) to use a proverb, speak a parable or proverb<br>&emsp;1b) (Piel) to make a parable<br>&emsp;&emsp;1b1) maker of parables (participle)",māšal,m
4912,מָשָׁל,H,4910+משׁל,apparently from H4910 in some original sense of superiority in mental action,,N-M,proverb,"1) proverb, parable<br>&emsp;1a) proverb, proverbial saying, aphorism<br>&emsp;1b) byword<br>&emsp;1c) similitude, parable<br>&emsp;1d) poem<br>&emsp;1e) sentences of ethical wisdom, ethical maxims",māšāl,
4913,מָשָׁל,H,4861+משׁאל,for H4861,,N_N--L,Mashal,"Mashal = ""entreaty""<br>1) a town in the territory of Asher allotted to the Gershonite Levites<br>&emsp;1a) also 'Mishal' and 'Misheal'",māšāl,
4914,מְשֹׁל,H,4911+משׁל,from H4911,,N-M,byword,1) byword,mᵊšōl,
4915,מֹ֫שֶׁל,H,4910+משׁל|4911+משׁל,"(1) from H4910, empire; (2) from H4911","מֹ֫שֶׁל, מֹ֫שֶׁל",N-M,likeness|dominion,"1) likeness, one like, similitude|1) dominion",mōšel,m
4916,מִשְׁלַח,H,7971+שׁלח,from H7971,"מִשְׁלוֹחַ, מִשְׁלַח",N-M,sending,"1) outstretchingbr>|1) outstretching, sending, sending forth",mišlaḥ,
4917,מִשְׁלַ֫חַת,H,4916+משׁלוח משׁלוח משׁלח,feminine of H4916,,N-F,deputation,"1) discharge, sending, sending away, deputation<br>&emsp;1a) discharge<br>&emsp;1b) deputation",mišlaḥat,
4918,מְשֻׁלָּם,H,7999+שׁלם,from H7999,,N_N-M-P,Meshullam,"Meshullam = ""friend""<br>1) grandfather of Shaphan, the scribe<br>2) son of Zerubbabel<br>3) a Benjamite of the sons of Elpaal<br>4) a Benjamite, father of Sallu<br>5) a Benjamite who lived at Jerusalem after the captivity<br>6) a Benjamite<br>&emsp;6a) perhaps the same as 3 or 4<br>7) a Gadite in the reign of king Jotham of Judah<br>8) son of Berechiah who assisted in rebuilding the wall of Jerusalem<br>9) son of Besodeiah who assisted Jehoiada the son of Paseah in restoring the old gate of Jerusalem<br>10) a chief of the people who sealed the covenant with Nehemiah<br>11) father of Hilkiah and high priest probably in the reign of king Amon of Judah<br>&emsp;11a) perhaps the same as 'Shallum'<br>12) a priest, son of Meshillemith or Meshillemoth, son of Immer, and ancestor of Maasiai or Amashai<br>13) a priest or family of priests who sealed the covenant with Nehemiah<br>14) a priest, head of the family of Ginnethon and representative of the house of Ezra in the days of Joiakim, the son of Jeshua<br>15) a priest, one of the princes of Judah at the dedication of the wall of Jerusalem<br>16) a Kohathite or family of Kohathite Levites in the reign of Josiah<br>17) a Levite, one of the heads sent to Iddo to gather the Levites to join the caravan about to return to Jerusalem; a chief man who assisted Ezra in abolishing the marriages which some of the people had made with foreign wives<br>18) ancestor of a family of porters or Levites in days of Nehemiah<br>19) a descendant of Bani who had a foreign wife and put her away<br>20) one of the men who stood at the left hand of Ezra when he read the law to the people<br>&emsp;20a) maybe the same as 17",mᵊšullām,
4919,מְשִׁלֵּמוֹת,H,7999+שׁלם,plural from H7999,,N_N-M-P,Meshillemoth,"Meshillemoth = ""recompense""<br>1) an Ephraimite, one of the chiefs of the tribe in the reign of king Pekah of Israel<br>&emsp;1a) also 'Meshillemith'<br>2) a priest, son of Immer<br>&emsp;2a) also 'Meshillemith'",mᵊšillēmōt,
4920,מְשֶׁלֶמְיָהוּ,H,7999+שׁלם|3050+יה,from H7999 and H3050,,N_N-M-P,Meshelemiah,"Meshelemiah = ""whom Jehovah repays""<br>1) a Korhite Levite porter or gatekeeper of the house of God in the time of David",mᵊšelemyāhū,
4921,מְשִׁלֵּמִית,H,7999+שׁלם,from H7999,,N_N-M-P,Meshillemith,"Meshillemith = ""recompense""<br>1) a priest, son of Immer. See also 'Meshillemoth'",mᵊšillēmīt,
4922,מְשֻׁלֶּ֫מֶת,H,4918+משׁולם,feminine of H4918,,N_N-F-P,Meshullemeth,"Meshullemeth = ""friend""<br>1) daughter of Haruz of Jotbah, wife of king Manasseh of Judah, and mother of king Amon of Judah",mᵊšullemet,
4923,מְשַׁמָּה,H,8074+שׁמם,from H8074,,N-F,devastation,"1) devastation, horror<br>&emsp;1a) devastation, waste<br>&emsp;1b) horror",mᵊšammā,
4924,שָׁמָן,H,8080+שׁמן,from H8080,"מִשְׁמָן, שָׁמָן, מַשְׁמָן",N-M,fat|fatness|fat piece,"1) fatness, fat, fertile place|1a) stout, vigorous<br>&emsp;1b) fertile spots or places|1) fat, fat piece, richly prepared food",šāmān,m
4925,מִשְׁמַנָּה,H,8080+שׁמן,from H8080,,N_N-M-P,Mishmannah,"Mishmannah = ""fatness""<br>1) a Gadite, one of David's mighty warriors, who joined him at Ziklag",mišmannā,
4926,מִשְׁמָע,H,8085+שׁמע,from H8085,,N-M,hearing,"1) thing heard, rumour",mišmāʿ,
4927,מִשְׁמָע,H,4926+משׁמע,the same as H4926,,N_N-M-P,Mishma,"Mishma = ""a hearing""<br>1) one of the 12 sons of Ishmael<br>2) son of Mibsam of the family of Simeon",mišmāʿ,
4928,מִשְׁמַ֫עַת,H,4926+משׁמע,feminine of H4926,,N-F,guard,"1) subjects, body of subjects, bodyguard, listeners, obedient ones<br>&emsp;1a) bodyguard<br>&emsp;1b) subjects",mišmaʿat,
4929,מִשְׁמָר,H,8104+שׁמר,from H8104,,N-M,custody,"1) place of confinement, prison, guard, jail, guard post, watch, observance<br>&emsp;1a) jail, prison, guard-house<br>&emsp;1b) guard, guard post, act of guarding<br>&emsp;1c) observances",mišmār,
4930,מַשְׂמְרָה,H,4548+מסמר מסמר מסמרה מסמרה,for H4548 feminine,,N-F,nail,1) nail,maśmᵊrā,
4931,מִשְׁמֶ֫רֶת,H,4929+משׁמר,fem. of H4929,,N-F,charge,"1) guard, charge, function, obligation, service, watch<br>&emsp;1a) guard, watch, house of detention or confinement<br>&emsp;1b) keeping, preserving<br>&emsp;1c) charge, injunction<br>&emsp;1d) office, function (ceremonial)",mišmeret,
4932,מִשְׁנֶה,H,8138+שׁנה,from H8138,,N-M,second,"1) double, copy, second, repetition<br>&emsp;1a) double<br>&emsp;1b) copy (of law)<br>&emsp;1c) second (in order)<br>&emsp;&emsp;1c1) second rank<br>&emsp;&emsp;1c2) second in age<br>&emsp;1d) second quarter or district",mišneh,
4933,מְשִׁסָּה,H,8155+שׁסס,from H8155,,N-F,plunder,"1) booty, spoil, plunder",mᵊšissā,
4934,מִשְׁעוֹל,H,8168+שׁועל,from the same as H8168,,N-M,passage,"1) hollow way, narrow way<br>&emsp;1a) of a road shut in between vineyards",mišʿōl,
4935,מִשְׁעִי,H,8159+שׁעה,probably from H8159,,N-F,cleansing,1) cleansing,mišʿī,
4936,מִשְׁעָם,H,8159+שׁעה,apparently from H8159,,N_N-M-P,Misham,"Misham = ""purification""<br>1) a Benjamite, son of Elpaal and descendant of Shaharaim",mišʿām,
4937,מִשְׁעָן,H,8172+שׁען,from H8172,"מִשְׁעֵן, מִשְׁעָן",N-M,support,"1) support, staff",mišʿān,
4938,מִשְׁעֵנָה,H,4937+משׁען משׁען,feminine of H4937,"מִשְׁעֵנָה, מִשְׁעֶ֫נֶת",N-F,support|staff,1) support|1) staff,mišʿēnā,m
4939,מִשְׂפָּח,H,5596+ספח שׂפח,from H5596,,N-M,bloodshed,"1) bloodshed, outpouring (of blood)",miśpāḥ,
4940,מִשְׁפָּחָה,H,8192+שׁפה,from H8192,,N-F,family,"1) clan, family<br>&emsp;1a) clan<br>&emsp;&emsp;1a1) family<br>&emsp;&emsp;1a2) tribe<br>&emsp;&emsp;1a3) people, nation<br>&emsp;1b) guild<br>&emsp;1c) species, kind<br>&emsp;1d) aristocrats",mišpāḥā,
4941,מִשְׁפָּט,H,8199+שׁפט,from H8199,,N-M,justice,"1) judgment, justice, ordinance<br>&emsp;1a) judgment<br>&emsp;&emsp;1a1) act of deciding a case<br>&emsp;&emsp;1a2) place, court, seat of judgment<br>&emsp;&emsp;1a3) process, procedure, litigation (before judges)<br>&emsp;&emsp;1a4) case, cause (presented for judgment)<br>&emsp;&emsp;1a5) sentence, decision (of judgment)<br>&emsp;&emsp;1a6) execution (of judgment)<br>&emsp;&emsp;1a7) time (of judgment)<br>&emsp;1b) justice, right, rectitude (attributes of God or man)<br>&emsp;1c) ordinance<br>&emsp;1d) decision (in law)<br>&emsp;1e) right, privilege, due (legal)<br>&emsp;1f) proper, fitting, measure, fitness, custom, manner, plan",mišpāṭ,
4942,מִשְׁפְּתַ֫יִם,H,8192+שׁפה,from H8192,,N-M,sheepfold,"1) fire-places, ash-heaps<br>&emsp;1a) meaning uncertain<br>2) (CLBL) sheepfolds, saddlebags<br>&emsp;2a) meaning uncertain",mišpᵊtayim,
4943,מֶ֫שֶׁק,H,,from an unused root meaning to hold,,N-M,acquisition,"1) acquisition, possession, son of possession, heir",mešeq,
4944,מַשָּׁק,H,8264+שׁקק,from H8264,,N-M,rushing,"1) running, rushing",maššāq,
4945,מַשְׁקֶה,H,8248+שׁקה,from H8248,"מַשְׁקֶה, מַשְׁקֶה",N-M,cupbearer|irrigation,"1) butler, cup-bearer|1) irrigation, drink<br>&emsp;1a) irrigation<br>&emsp;1b) drink, drinking vessels<br>&emsp;1c) butlership (office of butler)",mašqeh,m
4946,מִשְׁקוֹל,H,8254+שׁקל,from H8254,,N-M,weight,"1) heaviness, weight",mišqōl,
4947,מַשְׁקוֹף,H,8259+שׁקף,from H8259 in its original sense of overhanging,,N-M,lintel,1) lintel (of door),mašqōf,
4948,מִשְׁקָל,H,8254+שׁקל,from H8254,,N-M,weight,"1) heaviness, weight",mišqāl,
4949,מִשְׁקֶ֫לֶת,H,4948+משׁקל|4947+משׁקוף,feminine of H4948 or H4947,,N-F,level,"1) level, levelling tool or instrument, plummet",mišqelet,
4950,מִשְׁקָע,H,8257+שׁקע,from H8257,,N-M,clarified,"1) what is settled or clarified, clear",mišqāʿ,
4951,מִשְׂרָה,H,8280+שׂרה,from H8280,,N-F,dominion,"1) rule, dominion, government",miśrā,
4952,מִשְׁרָה,H,8281+שׁרה,from H8281 in the sense of loosening,,N-F,juice,1) juice,mišrā,
4953,מַשְׁרוֹקִי,A,8319+שׁרק,(Aramaic) from a root corresponding to H8319,,N-F,flute,1) pipe,mašrōqī,
4954,מִשְׁרָעִי,H,,patrial from an unused noun from an unused root,,N_N--LG,Mishraite,"Mishraites = ""touching evil""<br>1) the 4th of the 4 families of Kirjath-jearim",mišrāʿī,
4955,מִשְׂרָפָה,H,8313+שׂרף,from H8313,,N-F,burning,1) a burning,miśrāfā,
4956,מִשְׂרְפוֹת מַיִם,H,4955+משׂרפה|4325+מים,from the plural of H4955 and H4325,,N_N--L,Misrephoth-maim,"Misrephoth-maim = ""burnings of water""<br>1) a place in northern Palestine near Sidon",miśrᵊfōt mayim,
4957,מַשְׂרֵקָה,H,7796+שׂורק,a form for H7796 used denominatively,,N_N--L,Masrekah,"Masrekah = ""vineyard of noble vines""<br>1) an ancient place, the native spot of Samlah, one of the old kings of the Edomites",maśrēqā,
4958,מַשְׂרֵת,H,,"apparently from an unused root meaning to perforate, i.e. hollow out",,N-M,pan,"1) pan, dish",maśrēt,
4959,מָשַׁשׁ,H,,a primitive root,,V,to feel,"1) to feel, grope<br>&emsp;1a) (Qal) to feel, grope<br>&emsp;1b) (Piel) to feel over or through, grope<br>&emsp;&emsp;1b1) to feel through<br>&emsp;&emsp;1b2) to grope<br>&emsp;1c)(Hiphil) to feel",māšaš,
4960,מִשְׁתֶּה,H,8354+שׁתה,from H8354,,N-M,feast,"1) feast, drink, banquet<br>&emsp;1a) feast, banquet<br>&emsp;1b) drink",mišteh,
4961,מִשְׁתֶּה,A,4960+משׁתה,(Aramaic) corresponding to H4960,,N-M,feast,"1) feast, banquet",mišteh,
4962,מַת,H,4970+מתי,from the same as H4970,,N-M,man,"1) male, man<br>&emsp;1a) males, men<br>&emsp;1b) few men (in prose)<br>&emsp;&emsp;1b1) less emphasis on sex<br>&emsp;1c) men (poetic)<br>&emsp;&emsp;1c1) less emphasis on sex",mat,
4963,מַתְבֵּן,H,8401+תבן,denominative from H8401,,N-M,straw,1) straw heap,matbēn,
4964,מֶ֫תֶג,H,,from an unused root meaning to curb,,N-M,bridle,"1) bridle<br>&emsp;1a) bridle (for animals)<br>&emsp;1b) control, authority (fig.)",meteg,
4965,מֶתֶג הָאַמָּה,H,4964+מתג|520+אמה,from H4964 and H520 with the art. interposed,,N_N--L,Metheg-ammah,1) mother city<br>&emsp;1a) bridle of the mother city (ie control or authority of),meteg hāʾammā,
4966,מָתוֹק,H,4985+מתק,from H4985,,A,sweet,"adj<br>1) sweet<br>n m<br>2) sweetness, pleasant (thing)",mātōq,
4967,מְתוּשָׁאֵל,H,4962+מת|410+אל,"from H4962 and H410, with the relative interposed",,N_N-M-P,Methushael,"Methusael = ""who is of God""<br>1) son of Mehujael, 4th in descent from Cain, and father of Lamech",mᵊtūšāʾēl,
4968,מְתוּשֶׁ֫לַח,H,4962+מת|7973+שׁלח,from H4962 and H7973,,N_N-M-P,Methuselah,"Methuselah = ""man of the dart""<br>1) son of Enoch, 6th in descent from Seth, and father of Lamech",mᵊtūšelaḥ,
4969,מָתַח,H,,a primitive root,,V,to spread,1) (Qal) to spread out,mātaḥ,
4970,מָתַי,H,,from an unused root meaning to extend,,ADV,how,"1) when?<br>&emsp;1a) with prep<br>&emsp;&emsp;1a1) against when?, until when?, how long?, after how long?",mātay,
4971,מַתְכֹ֫נֶת,H,8505+תכן,from H8505 in the transferred sense of measuring,,N-F,tally,"1) measurement, proportion, tale<br>&emsp;1a) tale, tally (of bricks)<br>&emsp;1b) measurement, proportion",matxōnet,
4972,מַתְּלָאָה,H,4100+מה מה מ מ מה|8513+תלאה,from H4100 and H8513,,N-F,weariness,"1) what a weariness, toil, hardship, weariness",mattᵊlāʾā,
4973,מְתַלְּעוֹת,H,3216+ילע,contr. from H3216,,N-F,jaw,"1) teeth, fangs, incisors",mᵊtallᵊʿōt,
4974,מְתֹם,H,8552+תמם,from H8552,,N-M,soundness,"1) soundness, entirety, entire",mᵊtōm,
4975,מׇתְנַ֫יִם,H,,from an unused root meaning to be slender,,N-M,loin,"1) loins, hips<br>&emsp;1a) used with H02223 in Pr 30:31; perhaps an extinct animal, exact meaning unknown",motnayim,
4976,מַתָּן,H,5414+נתן,from H5414,,N-M,gift,"1) gifts, offerings, presents",mattān,
4977,מַתָּן,H,4976+מתתן,the same as H4976,,N_N-M-P,Mattan,"Mattan = ""a gift""<br>1) a priest of Baal in Jerusalem in the time of Athaliah<br>2) father of Shephatiah in the time of Jeremiah",mattān,
4978,מַתְּנָא,A,4979+מתתנה,(Aramaic) corresponding to H4979,,N-F,gift,1) gift,mattᵊnāʾ,
4979,מַתָּנָה,H,4976+מתתן,feminine of H4976,,N-F,gift,1) gift,mattānā,
4980,מַתָּנָה,H,4979+מתתנה,the same as H4979,,N_N--L,Mattanah,"Mattanah = ""gift of Jehovah""<br>1) a station of the Israelites in the latter part of their wanderings located east of the Jordan and probably to the southeast of the Dead Sea",mattānā,
4981,מִתְנִי,H,,probably patrial from an unused noun meaning slenderness,,N_N--LG,Mithnite,"Mithnite = ""athlete""<br>1) unknown derivation<br>&emsp;1a) used in description of Joshaphat, one of David's guards",mitnī,
4982,מַתְּנַי,H,4976+מתתן,from H4976,,N_N-M-P,Mattenai,"Mattenai = ""gift of Jehovah""<br>1) a priest, son of Joiarib, in the time of Joiakim<br>2) an Israelite who had and put away his foreign wife in the time of Ezra<br>3) another Israelite who had and put away his foreign wife in the time of Ezra",mattᵊnay,
4983,מַתַּנְיָ֫הוּ,H,4976+מתתן|3050+יה,from H4976 and H3050,,N_N-M-P,Mattaniah,"Mattaniah = ""gift of Jehovah""<br>1) the original name of the last king of Judah before the captivity; also known as 'Zedekiah'<br>2) a Levite, son of Heman, whose office was to blow the horns in the temple service as appointed by David<br>3) a Levite of the family of Asaph<br>4) a Levite of the family of Asaph who assisted in the purification of the temple in the reign of Hezekiah<br>5) a Levite of the family of Asaph who took part in the dedication of the wall of Jerusalem; leader of the temple choir<br>6) a Levite, descendant of Asaph and ancestor of Jahaziel in the time of Jehoshaphat<br>7) another Levite in the time of Nehemiah<br>8) a Levite, father of Zaccur and ancestor of Hanan the under-treasurer who had charge of the offerings in the time of Nehemiah<br>9) a man of the sons of Elam who had and put away a strange wife in the time of Ezra<br>10) a man of the sons of Zattu who had and put away a strange wife in the time of Ezra<br>11) a man descended from Pahath-moab who had and put away a strange wife in the time of Ezra<br>12) a man of the sons of Bani who had and put away a strange wife in the time of Ezra",mattanyāhū,
4984,מִתְנַשֵּׂא,H,5375+נשׂא נסה,from H5375,,V,to_exalt,1) (Hithpael) one who exalts himself,mitnaśśēʾ,
4985,מָתֹק,H,,a primitive root,,V,be sweet,1) to be or become sweet or pleasing<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to be or become sweet<br>&emsp;&emsp;1a2) to be or become pleasant<br>&emsp;&emsp;1a3) to suck<br>&emsp;1b) (Hiphil) to give sweet taste,mātōq,
4986,מֶ֫תֶק,H,4985+מתק,from H4985,,N-M,sweetness,1) sweetness,meteq,
4987,מֹ֫תֶק,H,4985+מתק,from H4985,,N-M,sweetness,1) sweetness,mōteq,
4988,מָתָק,H,4985+מתק,from H4985,,V,to sweeten,1) (Qal) to feed sweetly,mātāq,
4989,מִתְקָה,H,4987+מותק,feminine of H4987,,N_N--L,Mithkah,"Mithcah = ""sweetness""<br>1) a station of Israel in the wilderness; site unknown",mitqā,
4990,מִתְרְדָת,H,,of Persian origin,,N_N-M-P,Mithredath,"Mithredath = ""given by Mithra""<br>1) treasurer of king Cyrus of Persia<br>2) a Persian officer stationed at Samaria in the time of Artaxerxes",mitrᵊdāt,
4991,מַתַּת,H,4976+מתתן,feminine of H4976 abbreviated form,,N-F,gift,"1) gift, reward",mattat,
4992,מַתַּתָּה,H,4993+מתתתיה מתתתיהו,for H4993,,N_N-M-P,Mattathah,"Mattathah = ""gift of Jehovah""<br>1) son of Hashum who took and put away his foreign wife in the time of Ezra",mattattā,
4993,מַתִּתְיָ֫הוּ,H,4991+מתתת|3050+יה,from H4991 and H3050,,N_N-M-P,Mattithiah,"Mattithiah = ""gift of Jehovah""<br>1) a Levite who presided over the offerings<br>2) a Levite appointed by David to minister in the musical service before the ark<br>3) one of the family of Nebo who had a foreign wife in the time of Ezra<br>4) one of the men who stood at the right hand of Ezra when he read the law to the people",mattityāhū,
4994,נָא,H,,"a primitive particle of incitement and entreaty, which may usually be rendered",,INJ,please,"1) I (we) pray, now, please<br>&emsp;1a) used in entreaty or exhortation",nāʾ,
4995,נָא,H,5106+נוא,apparently from H5106 in the sense of harshness from refusal,,A,raw,1) raw,nāʾ,
4996,נֹא,H,,of Egyptian origin. Compare H528,,N_N--L,No,"No = ""disrupting""<br>1) the ancient capital of Egypt; also 'Thebes'",nōʾ,
4997,נֹאד,H,,from an unused root of uncertain signification,,N-M,wineskin,"1) skin, bottle, skin-bottle",nōʾd,
4998,נָאָה,H,,a primitive root,,V,be lovely,"1) to be comely, be beautiful, be befitting<br>&emsp;1a) (Pilpel)<br>&emsp;&emsp;1a1) to be comely<br>&emsp;&emsp;1a2) to be befitting",nāʾā,
4999,נָוָה,H,4998+נאה,from H4998,,N-F,habitation,"1) pasture, abode, abode of shepherd, habitation, meadow<br>&emsp;1a) pasture, meadow<br>&emsp;1b) abode",nāwā,
5000,נָאוֶה,H,4998+נאה|5116+נוה נוה,from H4998 or H5116,,A,lovely,"1) comely, beautiful, seemly<br>&emsp;1a) comely, beautiful<br>&emsp;1b) seemly",nāʾweh,
5001,נָאַם,H,,a primitive root,,V,to prophesy,"1) to prophesy, utter a prophecy, speak as prophet, say<br>&emsp;1a) (Qal) to utter a prophecy, speak as prophet",nāʾam,
5002,נְאֻם,H,5001+נאם,from H5001,,N-M,utterance,"1) (Qal) utterance, declaration (of prophet)<br>&emsp;1a) utterance, declaration, revelation (of prophet in ecstatic state)<br>&emsp;1b) utterance, declaration (elsewhere always preceding divine name)",nᵊʾum,
5003,נָאַף,H,,a primitive root,,V,to commit adultery,1) to commit adultery<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to commit adultery<br>1a1a) usually of man<br>1a1a1) always with wife of another<br>1a1b) adultery (of women) (participle)<br>&emsp;&emsp;1a2) idolatrous worship (fig.)<br>&emsp;1b) (Piel)<br>&emsp;&emsp;1b1) to commit adultery<br>1b1a) of man<br>1b1b) adultery (of women) (participle)<br>&emsp;&emsp;1b2) idolatrous worship (fig.),nāʾaf,
5004,נִאֻף,H,5003+נאף,from H5003,,N-M,adultery,1) adultery<br>&emsp;1a) idolatrous worship (fig.),niʾuf,
5005,נַאֲפוּף,H,5003+נאף,from H5003,,N-M,adultery,1) adultery,naʾăfūf,
